id,order_id,meal_id,restaurant_id,quantity,unit_price
1,1,1,1,2,1500
2,1,9,1,1,1800
3,2,2,2,1,1200
4,3,3,3,2,1300
5,4,4,4,1,1600
6,5,5,5,1,1700
7,6,6,6,2,1400
8,7,7,7,3,2000
9,8,8,8,1,2200
10,9,15,4,1,2500
11,10,10,1,2,1500
12,10,11,1,1,1800
13,11,17,7,2,500
14,12,18,8,3,1000
15,13,11,1,1,1800
16,13,12,1,2,2200
17,14,41,3,2,2100
18,14,43,3,1,900
19,15,45,5,1,2400
20,15,47,5,2,1100
21,16,53,7,1,2200
22,16,17,7,2,500
23,17,61,9,2,1400
24,17,64,9,1,1100
25,18,65,10,1,4500
26,18,67,10,1,1600
27,19,69,11,2,2000
28,19,72,11,1,2200
29,20,73,12,2,2400
30,20,75,12,1,2200
31,21,77,13,1,2400
32,21,80,13,2,900
33,22,26,14,2,2490
34,22,83,14,2,900
35,23,38,2,3,1900
36,23,40,2,1,1500
37,24,4,4,1,1600
38,24,15,4,1,2500
39,25,49,6,2,1600
40,25,51,6,1,2600
41,26,8,8,1,2200
42,26,57,8,2,2800
43,26,59,8,1,700
44,27,1,1,2,1500
45,27,10,1,1,1500
46,28,3,3,1,1300
47,28,41,3,1,2100
48,29,5,5,1,1700
49,29,46,5,1,2200
50,30,7,7,2,2000
51,30,54,7,1,1900
52,31,62,9,2,1800
53,31,64,9,1,1100
54,32,70,11,1,2100
55,32,71,11,2,2300
