id,name,description,price,restaurant_id,image_url
1,Margherita Pizza,"Friss paradicsom, mozzarella és bazsalikom",1500,1,margherita_pizza_r1.jpg
2,Caesar Saláta,Ropogós saláta csirkével és krutonnal,1200,2,caesar_salata_r2.jpg
3,Spaghetti Carbonara,Klasszikus olasz tészta szalonnával és tojással,1300,3,spaghetti_carbonara_r3.jpg
4,Pepperoni Pizza,Szaftos pepperoni és olvadt sajt,1600,4,pepperoni_pizza_r4.jpg
5,Hawaii Pizza,Ananász és sonka egy különleges kombinációban,1700,5,hawaii_pizza_r5.jpg
6,Vegetáriánus Pizza,Friss zöldségek és sajt egy egészséges választás,1400,6,vegetarianos_pizza_r6.jpg
7,California Roll,"Rák, avokádó és uborka egy finom tekercsben",2000,7,california_roll_r7.jpg
8,Spicy Tuna Roll,Fűszeres tonhal és avokádó egy ízletes kombinációban,2200,8,spicy_tuna_roll_r8.jpg
9,Salmon Nigiri,Friss lazac egy szelet rizs tetején,1800,1,salmon_nigiri_r1.jpg
10,Gyros tál,"Fűszeres csirkehús, sült burgonya, friss saláta és tzatziki",1500,1,gyros_tal_r1.jpg
11,Hamburger,"Marhahúspogácsa, cheddar sajt, saláta, paradicsom és burger szósz",1800,1,hamburger_r1.jpg
12,Sült csirke,Ropogós bundában sült csirkemell hasábburgonyával,2200,1,sult_csirke_r1.jpg
13,Rántott sajt,Aranybarnára sütött sajt tartármártással és rizzsel,1700,1,rantott_sajt_r1.jpg
14,Lazac steak,Grillezett lazac friss salátával és citromos öntettel,3000,1,lazac_steak_r1.jpg
15,Vegetáriánus lasagne,"Rétegezett tészta zöldségekkel, paradicsomszósszal és sajttal",2500,4,vegetarianos_lasagne_r4.jpg
16,Sült zöldségek,Kemencében sült idényzöldségek fokhagymás fűszerezéssel,1200,6,sult_zoldsegek_r6.jpg
17,Sült krumpli,"Frissen sült, ropogós hasábburgonya enyhén sózva",500,7,sult_krumpli_r7.jpg
18,Kóla,"Jéghideg szénsavas üdítőital 0,5 literes kiszerelésben",1000,8,kola_r8.jpg
